"subject","event","date","memory","negative","positive","surprise","covid","datePlot"
1,"BLM","June",76,44,41,62,0,"JUN"
1,"NFL","April",0,0,0,0,0,"APR"
1,"RBG","September",100,100,0,38,0,"SEP"
1,"baldwin","December",0,0,0,0,0,"DEC"
1,"barronTrump","June",6,15,0,22,0,"JUN"
1,"borisJCovid","April",60,38,8,85,0,"APR"
1,"caucusNV","February",15,0,19,13,0,"FEB"
1,"covid","March",100,64,67,100,1,"MAR"
1,"falwell","August",0,0,0,0,0,"AUG"
1,"firstStim","March",100,11,79,100,0,"MAR"
1,"georgeFloyd","May",100,83,0,28,0,"MAY"
1,"jadaSmith","July",0,0,0,0,0,"JUL"
1,"kobe","January",0,0,0,0,0,"JAN"
1,"nayaRivera","July",0,0,0,0,0,"JUL"
1,"olsenDivorce","May",0,0,0,0,0,"MAY"
1,"presBiden","November",100,4,100,79,0,"NOV"
1,"presDebates","October",100,49,35,9,0,"OCT"
1,"primaryNH","February",34,0,53,46,0,"FEB"
1,"secondStim","December",100,11,42,100,0,"DEC"
1,"soleimani","January",0,0,0,0,0,"JAN"
1,"thomBrenn","August",0,0,0,0,0,"AUG"
1,"toobinZoom","October",0,0,0,0,0,"OCT"
1,"trumpFraud","November",90,100,7,43,0,"NOV"
1,"trumpInterview","September",55,100,0,78,0,"SEP"
2,"BLM","June",90,71,31,87,0,"JUN"
2,"NFL","April",0,0,0,0,0,"APR"
2,"RBG","September",57,90,8,75,0,"SEP"
2,"baldwin","December",0,0,0,0,0,"DEC"
2,"barronTrump","June",0,0,0,0,0,"JUN"
2,"borisJCovid","April",36,33,23,54,0,"APR"
2,"caucusNV","February",4,0,61,25,0,"FEB"
2,"covid","March",86,79,6,93,1,"MAR"
2,"falwell","August",0,0,0,0,0,"AUG"
2,"firstStim","March",85,0,86,89,0,"MAR"
2,"georgeFloyd","May",87,76,0,84,0,"MAY"
2,"jadaSmith","July",0,0,0,0,0,"JUL"
2,"kobe","January",90,80,0,86,0,"JAN"
2,"nayaRivera","July",90,92,0,97,0,"JUL"
2,"olsenDivorce","May",0,0,0,0,0,"MAY"
2,"presBiden","November",94,0,95,60,0,"NOV"
2,"presDebates","October",57,57,31,7,0,"OCT"
2,"primaryNH","February",13,0,66,22,0,"FEB"
2,"secondStim","December",60,8,90,63,0,"DEC"
2,"soleimani","January",0,0,0,0,0,"JAN"
2,"thomBrenn","August",0,0,0,0,0,"AUG"
2,"toobinZoom","October",0,0,0,0,0,"OCT"
2,"trumpFraud","November",86,100,0,85,0,"NOV"
2,"trumpInterview","September",0,0,0,0,0,"SEP"
3,"BLM","June",59,49,49,48,0,"JUN"
3,"NFL","April",44,42,52,45,0,"APR"
3,"RBG","September",29,55,18,27,0,"SEP"
3,"baldwin","December",0,0,0,0,0,"DEC"
3,"barronTrump","June",8,8,6,6,0,"JUN"
3,"borisJCovid","April",48,54,42,42,0,"APR"
3,"caucusNV","February",11,5,9,7,0,"FEB"
3,"covid","March",95,66,26,65,1,"MAR"
3,"falwell","August",9,15,7,11,0,"AUG"
3,"firstStim","March",59,44,64,65,0,"MAR"
3,"georgeFloyd","May",54,53,36,60,0,"MAY"
3,"jadaSmith","July",24,54,31,55,0,"JUL"
3,"kobe","January",57,64,12,79,0,"JAN"
3,"nayaRivera","July",20,33,15,26,0,"JUL"
3,"olsenDivorce","May",5,50,50,10,0,"MAY"
3,"presBiden","November",71,33,62,48,0,"NOV"
3,"presDebates","October",74,51,52,25,0,"OCT"
3,"primaryNH","February",35,50,50,50,0,"FEB"
3,"secondStim","December",61,40,59,61,0,"DEC"
3,"soleimani","January",21,51,51,20,0,"JAN"
3,"thomBrenn","August",0,54,39,50,0,"AUG"
3,"toobinZoom","October",0,0,0,0,0,"OCT"
3,"trumpFraud","November",77,55,26,32,0,"NOV"
3,"trumpInterview","September",7,61,14,25,0,"SEP"
4,"BLM","June",100,50,0,0,0,"JUN"
4,"NFL","April",0,0,0,0,0,"APR"
4,"RBG","September",45,20,0,0,0,"SEP"
4,"baldwin","December",0,0,0,0,0,"DEC"
4,"barronTrump","June",0,0,0,0,0,"JUN"
4,"borisJCovid","April",40,50,0,75,0,"APR"
4,"caucusNV","February",0,0,0,0,0,"FEB"
4,"covid","March",100,75,25,100,1,"MAR"
4,"falwell","August",0,0,0,0,0,"AUG"
4,"firstStim","March",65,0,100,100,0,"MAR"
4,"georgeFloyd","May",100,100,0,75,0,"MAY"
4,"jadaSmith","July",0,0,0,0,0,"JUL"
4,"kobe","January",65,70,0,100,0,"JAN"
4,"nayaRivera","July",0,0,0,0,0,"JUL"
4,"olsenDivorce","May",0,0,0,0,0,"MAY"
4,"presBiden","November",100,100,0,100,0,"NOV"
4,"presDebates","October",100,20,50,0,0,"OCT"
4,"primaryNH","February",0,0,0,0,0,"FEB"
4,"secondStim","December",100,0,100,70,0,"DEC"
4,"soleimani","January",0,0,0,0,0,"JAN"
4,"thomBrenn","August",0,0,0,0,0,"AUG"
4,"toobinZoom","October",0,0,0,0,0,"OCT"
4,"trumpFraud","November",100,15,70,50,0,"NOV"
4,"trumpInterview","September",0,0,0,0,0,"SEP"
5,"BLM","June",75,38,61,61,0,"JUN"
5,"NFL","April",39,0,50,30,0,"APR"
5,"RBG","September",60,75,4,66,0,"SEP"
5,"baldwin","December",0,0,0,0,0,"DEC"
5,"barronTrump","June",0,0,0,0,0,"JUN"
5,"borisJCovid","April",50,51,27,28,0,"APR"
5,"caucusNV","February",8,0,25,4,0,"FEB"
5,"covid","March",71,88,1,79,1,"MAR"
5,"falwell","August",39,23,53,51,0,"AUG"
5,"firstStim","March",50,0,81,61,0,"MAR"
5,"georgeFloyd","May",66,90,1,72,0,"MAY"
5,"jadaSmith","July",0,0,0,0,0,"JUL"
5,"kobe","January",77,73,0,97,0,"JAN"
5,"nayaRivera","July",0,0,0,0,0,"JUL"
5,"olsenDivorce","May",0,0,0,0,0,"MAY"
5,"presBiden","November",91,9,95,35,0,"NOV"
5,"presDebates","October",19,49,16,9,0,"OCT"
5,"primaryNH","February",25,5,42,4,0,"FEB"
5,"secondStim","December",51,5,90,51,0,"DEC"
5,"soleimani","January",50,62,33,63,0,"JAN"
5,"thomBrenn","August",91,84,5,96,0,"AUG"
5,"toobinZoom","October",81,63,6,88,0,"OCT"
5,"trumpFraud","November",92,94,0,55,0,"NOV"
5,"trumpInterview","September",49,75,4,34,0,"SEP"
6,"BLM","June",100,100,0,30,0,"JUN"
6,"NFL","April",14,0,0,0,0,"APR"
6,"RBG","September",55,5,0,0,0,"SEP"
6,"baldwin","December",30,0,0,26,0,"DEC"
6,"barronTrump","June",10,0,0,0,0,"JUN"
6,"borisJCovid","April",24,9,0,0,0,"APR"
6,"caucusNV","February",0,0,0,0,0,"FEB"
6,"covid","March",90,100,0,100,1,"MAR"
6,"falwell","August",0,0,0,0,0,"AUG"
6,"firstStim","March",80,4,47,40,0,"MAR"
6,"georgeFloyd","May",100,100,0,100,0,"MAY"
6,"jadaSmith","July",0,0,0,0,0,"JUL"
6,"kobe","January",90,100,0,100,0,"JAN"
6,"nayaRivera","July",60,100,0,30,0,"JUL"
6,"olsenDivorce","May",9,0,0,70,0,"MAY"
6,"presBiden","November",100,10,0,0,0,"NOV"
6,"presDebates","October",100,100,0,0,0,"OCT"
6,"primaryNH","February",0,0,0,0,0,"FEB"
6,"secondStim","December",60,0,60,40,0,"DEC"
6,"soleimani","January",0,0,0,0,0,"JAN"
6,"thomBrenn","August",0,0,0,0,0,"AUG"
6,"toobinZoom","October",3,0,0,0,0,"OCT"
6,"trumpFraud","November",100,100,0,20,0,"NOV"
6,"trumpInterview","September",30,60,0,5,0,"SEP"
7,"BLM","June",100,0,100,51,0,"JUN"
7,"NFL","April",0,0,0,0,0,"APR"
7,"RBG","September",100,100,0,76,0,"SEP"
7,"baldwin","December",0,0,0,0,0,"DEC"
7,"barronTrump","June",0,0,0,0,0,"JUN"
7,"borisJCovid","April",60,50,0,30,0,"APR"
7,"caucusNV","February",50,0,25,50,0,"FEB"
7,"covid","March",100,100,0,100,1,"MAR"
7,"falwell","August",0,0,0,0,0,"AUG"
7,"firstStim","March",85,0,100,25,0,"MAR"
7,"georgeFloyd","May",100,100,0,50,0,"MAY"
7,"jadaSmith","July",0,0,0,0,0,"JUL"
7,"kobe","January",100,100,0,100,0,"JAN"
7,"nayaRivera","July",65,100,0,100,0,"JUL"
7,"olsenDivorce","May",0,0,0,0,0,"MAY"
7,"presBiden","November",100,0,100,70,0,"NOV"
7,"presDebates","October",100,25,75,0,0,"OCT"
7,"primaryNH","February",50,0,100,25,0,"FEB"
7,"secondStim","December",100,0,100,50,0,"DEC"
7,"soleimani","January",70,40,60,70,0,"JAN"
7,"thomBrenn","August",0,0,0,0,0,"AUG"
7,"toobinZoom","October",0,0,0,0,0,"OCT"
7,"trumpFraud","November",100,100,0,50,0,"NOV"
7,"trumpInterview","September",100,100,0,40,0,"SEP"
8,"BLM","June",100,5,100,100,0,"JUN"
8,"NFL","April",0,0,0,0,0,"APR"
8,"RBG","September",100,100,0,5,0,"SEP"
8,"baldwin","December",0,0,0,0,0,"DEC"
8,"barronTrump","June",20,0,10,1,0,"JUN"
8,"borisJCovid","April",80,0,0,5,0,"APR"
8,"caucusNV","February",0,0,0,0,0,"FEB"
8,"covid","March",100,80,0,100,1,"MAR"
8,"falwell","August",0,0,0,0,0,"AUG"
8,"firstStim","March",100,0,100,100,0,"MAR"
8,"georgeFloyd","May",100,100,0,0,0,"MAY"
8,"jadaSmith","July",80,0,0,0,0,"JUL"
8,"kobe","January",100,60,0,100,0,"JAN"
8,"nayaRivera","July",65,80,0,50,0,"JUL"
8,"olsenDivorce","May",0,0,0,0,0,"MAY"
8,"presBiden","November",100,0,100,59,0,"NOV"
8,"presDebates","October",100,25,40,0,0,"OCT"
8,"primaryNH","February",0,0,0,0,0,"FEB"
8,"secondStim","December",100,0,100,100,0,"DEC"
8,"soleimani","January",20,10,0,0,0,"JAN"
8,"thomBrenn","August",0,0,0,0,0,"AUG"
8,"toobinZoom","October",0,0,0,0,0,"OCT"
8,"trumpFraud","November",100,70,0,40,0,"NOV"
8,"trumpInterview","September",0,0,0,0,0,"SEP"
9,"BLM","June",100,100,0,0,0,"JUN"
9,"NFL","April",100,0,0,0,0,"APR"
9,"RBG","September",100,60,0,0,0,"SEP"
9,"baldwin","December",33,0,0,20,0,"DEC"
9,"barronTrump","June",25,35,0,0,0,"JUN"
9,"borisJCovid","April",75,50,0,5,0,"APR"
9,"caucusNV","February",12,62,0,0,0,"FEB"
9,"covid","March",100,60,0,90,1,"MAR"
9,"falwell","August",0,0,0,0,0,"AUG"
9,"firstStim","March",100,11,50,90,0,"MAR"
9,"georgeFloyd","May",100,100,0,30,0,"MAY"
9,"jadaSmith","July",0,0,0,0,0,"JUL"
9,"kobe","January",100,100,0,100,0,"JAN"
9,"nayaRivera","July",60,90,0,90,0,"JUL"
9,"olsenDivorce","May",0,0,0,0,0,"MAY"
9,"presBiden","November",100,100,0,0,0,"NOV"
9,"presDebates","October",100,10,100,0,0,"OCT"
9,"primaryNH","February",30,0,0,0,0,"FEB"
9,"secondStim","December",90,90,0,0,0,"DEC"
9,"soleimani","January",100,0,100,5,0,"JAN"
9,"thomBrenn","August",0,0,0,0,0,"AUG"
9,"toobinZoom","October",0,0,0,0,0,"OCT"
9,"trumpFraud","November",100,20,0,0,0,"NOV"
9,"trumpInterview","September",100,0,70,0,0,"SEP"
10,"BLM","June",96,56,30,12,0,"JUN"
10,"NFL","April",65,26,56,38,0,"APR"
10,"RBG","September",92,85,2,65,0,"SEP"
10,"baldwin","December",0,0,0,0,0,"DEC"
10,"barronTrump","June",0,0,0,0,0,"JUN"
10,"borisJCovid","April",74,56,8,10,0,"APR"
10,"caucusNV","February",66,10,60,20,0,"FEB"
10,"covid","March",96,94,2,60,1,"MAR"
10,"falwell","August",0,0,0,0,0,"AUG"
10,"firstStim","March",94,5,98,10,0,"MAR"
10,"georgeFloyd","May",95,88,4,30,0,"MAY"
10,"jadaSmith","July",10,77,10,53,0,"JUL"
10,"kobe","January",100,97,1,97,0,"JAN"
10,"nayaRivera","July",0,0,0,0,0,"JUL"
10,"olsenDivorce","May",0,0,0,0,0,"MAY"
10,"presBiden","November",98,4,98,10,0,"NOV"
10,"presDebates","October",95,20,70,2,0,"OCT"
10,"primaryNH","February",66,5,80,31,0,"FEB"
10,"secondStim","December",92,2,90,29,0,"DEC"
10,"soleimani","January",65,55,64,58,0,"JAN"
10,"thomBrenn","August",0,0,0,0,0,"AUG"
10,"toobinZoom","October",0,0,0,0,0,"OCT"
10,"trumpFraud","November",84,70,8,14,0,"NOV"
10,"trumpInterview","September",25,88,3,3,0,"SEP"
11,"BLM","June",100,0,100,20,0,"JUN"
11,"NFL","April",0,0,0,0,0,"APR"
11,"RBG","September",100,75,0,10,0,"SEP"
11,"baldwin","December",50,20,0,25,0,"DEC"
11,"barronTrump","June",0,0,0,0,0,"JUN"
11,"borisJCovid","April",0,0,0,0,0,"APR"
11,"caucusNV","February",75,0,75,25,0,"FEB"
11,"covid","March",100,100,0,80,1,"MAR"
11,"falwell","August",0,0,0,0,0,"AUG"
11,"firstStim","March",100,0,100,50,0,"MAR"
11,"georgeFloyd","May",100,100,0,75,0,"MAY"
11,"jadaSmith","July",25,5,0,15,0,"JUL"
11,"kobe","January",75,75,0,75,0,"JAN"
11,"nayaRivera","July",0,0,0,0,0,"JUL"
11,"olsenDivorce","May",0,0,0,0,0,"MAY"
11,"presBiden","November",100,0,100,25,0,"NOV"
11,"presDebates","October",50,0,0,0,0,"OCT"
11,"primaryNH","February",100,0,75,20,0,"FEB"
11,"secondStim","December",75,0,100,50,0,"DEC"
11,"soleimani","January",0,0,0,0,0,"JAN"
11,"thomBrenn","August",50,100,0,75,0,"AUG"
11,"toobinZoom","October",0,0,0,0,0,"OCT"
11,"trumpFraud","November",100,100,0,0,0,"NOV"
11,"trumpInterview","September",15,0,0,0,0,"SEP"
12,"BLM","June",60,7,11,4,0,"JUN"
12,"NFL","April",0,0,0,0,0,"APR"
12,"RBG","September",50,45,3,10,0,"SEP"
12,"baldwin","December",21,12,5,29,0,"DEC"
12,"barronTrump","June",0,0,0,0,0,"JUN"
12,"borisJCovid","April",5,1,0,0,0,"APR"
12,"caucusNV","February",0,0,0,0,0,"FEB"
12,"covid","March",45,77,3,64,1,"MAR"
12,"falwell","August",0,0,0,0,0,"AUG"
12,"firstStim","March",49,0,87,12,0,"MAR"
12,"georgeFloyd","May",25,61,0,7,0,"MAY"
12,"jadaSmith","July",0,0,0,0,0,"JUL"
12,"kobe","January",6,7,1,58,0,"JAN"
12,"nayaRivera","July",5,8,0,13,0,"JUL"
12,"olsenDivorce","May",0,0,0,0,0,"MAY"
12,"presBiden","November",100,1,87,22,0,"NOV"
12,"presDebates","October",8,24,1,4,0,"OCT"
12,"primaryNH","February",0,0,0,0,0,"FEB"
12,"secondStim","December",11,0,90,7,0,"DEC"
12,"soleimani","January",4,2,0,1,0,"JAN"
12,"thomBrenn","August",0,0,0,0,0,"AUG"
12,"toobinZoom","October",0,0,0,0,0,"OCT"
12,"trumpFraud","November",100,95,0,4,0,"NOV"
12,"trumpInterview","September",0,0,0,0,0,"SEP"
13,"BLM","June",90,82,0,80,0,"JUN"
13,"NFL","April",60,0,14,20,0,"APR"
13,"RBG","September",90,20,0,10,0,"SEP"
13,"baldwin","December",70,8,17,10,0,"DEC"
13,"barronTrump","June",10,0,0,0,0,"JUN"
13,"borisJCovid","April",60,10,0,5,0,"APR"
13,"caucusNV","February",30,5,0,10,0,"FEB"
13,"covid","March",100,77,0,100,1,"MAR"
13,"falwell","August",10,0,0,0,0,"AUG"
13,"firstStim","March",90,0,76,85,0,"MAR"
13,"georgeFloyd","May",90,100,0,100,0,"MAY"
13,"jadaSmith","July",40,5,0,10,0,"JUL"
13,"kobe","January",93,39,0,85,0,"JAN"
13,"nayaRivera","July",70,20,0,60,0,"JUL"
13,"olsenDivorce","May",0,0,0,0,0,"MAY"
13,"presBiden","November",100,75,0,100,0,"NOV"
13,"presDebates","October",95,71,0,0,0,"OCT"
13,"primaryNH","February",60,3,3,5,0,"FEB"
13,"secondStim","December",100,26,50,20,0,"DEC"
13,"soleimani","January",30,50,0,2,0,"JAN"
13,"thomBrenn","August",0,0,0,0,0,"AUG"
13,"toobinZoom","October",65,30,0,20,0,"OCT"
13,"trumpFraud","November",90,60,40,20,0,"NOV"
13,"trumpInterview","September",30,5,5,10,0,"SEP"
14,"BLM","June",75,0,0,10,0,"JUN"
14,"NFL","April",0,0,0,0,0,"APR"
14,"RBG","September",0,0,0,0,0,"SEP"
14,"baldwin","December",0,0,0,0,0,"DEC"
14,"barronTrump","June",0,0,0,0,0,"JUN"
14,"borisJCovid","April",0,0,0,0,0,"APR"
14,"caucusNV","February",0,0,0,0,0,"FEB"
14,"covid","March",100,75,0,40,1,"MAR"
14,"falwell","August",0,0,0,0,0,"AUG"
14,"firstStim","March",50,0,30,20,0,"MAR"
14,"georgeFloyd","May",80,100,0,70,0,"MAY"
14,"jadaSmith","July",0,0,0,0,0,"JUL"
14,"kobe","January",80,75,0,100,0,"JAN"
14,"nayaRivera","July",0,0,0,0,0,"JUL"
14,"olsenDivorce","May",0,0,0,0,0,"MAY"
14,"presBiden","November",100,0,100,50,0,"NOV"
14,"presDebates","October",10,40,0,0,0,"OCT"
14,"primaryNH","February",0,0,0,0,0,"FEB"
14,"secondStim","December",30,0,70,40,0,"DEC"
14,"soleimani","January",0,0,0,0,0,"JAN"
14,"thomBrenn","August",0,0,0,0,0,"AUG"
14,"toobinZoom","October",0,0,0,0,0,"OCT"
14,"trumpFraud","November",90,100,0,10,0,"NOV"
14,"trumpInterview","September",0,0,0,0,0,"SEP"
15,"BLM","June",10,10,10,20,0,"JUN"
15,"NFL","April",0,0,0,0,0,"APR"
15,"RBG","September",50,50,0,10,0,"SEP"
15,"baldwin","December",0,0,0,0,0,"DEC"
15,"barronTrump","June",0,0,0,0,0,"JUN"
15,"borisJCovid","April",30,0,0,50,0,"APR"
15,"caucusNV","February",5,0,0,0,0,"FEB"
15,"covid","March",85,75,20,97,1,"MAR"
15,"falwell","August",0,0,0,0,0,"AUG"
15,"firstStim","March",60,10,80,80,0,"MAR"
15,"georgeFloyd","May",70,80,0,40,0,"MAY"
15,"jadaSmith","July",0,0,0,0,0,"JUL"
15,"kobe","January",30,20,0,70,0,"JAN"
15,"nayaRivera","July",0,0,0,0,0,"JUL"
15,"olsenDivorce","May",0,0,0,0,0,"MAY"
15,"presBiden","November",25,5,75,65,0,"NOV"
15,"presDebates","October",20,50,10,0,0,"OCT"
15,"primaryNH","February",5,0,5,0,0,"FEB"
15,"secondStim","December",75,5,90,85,0,"DEC"
15,"soleimani","January",10,0,0,50,0,"JAN"
15,"thomBrenn","August",0,0,0,0,0,"AUG"
15,"toobinZoom","October",0,0,0,0,0,"OCT"
15,"trumpFraud","November",60,100,0,20,0,"NOV"
15,"trumpInterview","September",20,100,0,4,0,"SEP"
16,"BLM","June",100,50,50,20,0,"JUN"
16,"NFL","April",0,0,0,0,0,"APR"
16,"RBG","September",100,43,0,9,0,"SEP"
16,"baldwin","December",0,0,0,0,0,"DEC"
16,"barronTrump","June",0,0,0,0,0,"JUN"
16,"borisJCovid","April",0,0,0,0,0,"APR"
16,"caucusNV","February",0,0,0,0,0,"FEB"
16,"covid","March",100,100,0,100,1,"MAR"
16,"falwell","August",0,0,0,0,0,"AUG"
16,"firstStim","March",100,0,100,100,0,"MAR"
16,"georgeFloyd","May",100,100,0,100,0,"MAY"
16,"jadaSmith","July",0,0,0,0,0,"JUL"
16,"kobe","January",100,100,0,100,0,"JAN"
16,"nayaRivera","July",0,0,0,0,0,"JUL"
16,"olsenDivorce","May",0,0,0,0,0,"MAY"
16,"presBiden","November",100,0,100,38,0,"NOV"
16,"presDebates","October",100,50,50,0,0,"OCT"
16,"primaryNH","February",0,0,0,0,0,"FEB"
16,"secondStim","December",100,0,100,54,0,"DEC"
16,"soleimani","January",100,50,50,54,0,"JAN"
16,"thomBrenn","August",0,0,0,0,0,"AUG"
16,"toobinZoom","October",100,100,0,100,0,"OCT"
16,"trumpFraud","November",100,100,0,19,0,"NOV"
16,"trumpInterview","September",100,100,0,100,0,"SEP"
17,"BLM","June",100,0,50,10,0,"JUN"
17,"NFL","April",0,0,0,0,0,"APR"
17,"RBG","September",85,45,0,40,0,"SEP"
17,"baldwin","December",60,0,0,35,0,"DEC"
17,"barronTrump","June",0,0,0,0,0,"JUN"
17,"borisJCovid","April",0,0,0,0,0,"APR"
17,"caucusNV","February",0,0,0,0,0,"FEB"
17,"covid","March",100,90,0,90,1,"MAR"
17,"falwell","August",0,0,0,0,0,"AUG"
17,"firstStim","March",70,0,80,5,0,"MAR"
17,"georgeFloyd","May",100,85,0,20,0,"MAY"
17,"jadaSmith","July",30,0,0,50,0,"JUL"
17,"kobe","January",80,65,0,100,0,"JAN"
17,"nayaRivera","July",80,50,0,65,0,"JUL"
17,"olsenDivorce","May",0,0,0,0,0,"MAY"
17,"presBiden","November",100,0,20,50,0,"NOV"
17,"presDebates","October",60,0,0,0,0,"OCT"
17,"primaryNH","February",0,0,0,0,0,"FEB"
17,"secondStim","December",70,0,80,0,0,"DEC"
17,"soleimani","January",0,0,0,0,0,"JAN"
17,"thomBrenn","August",0,0,0,0,0,"AUG"
17,"toobinZoom","October",0,0,0,0,0,"OCT"
17,"trumpFraud","November",80,10,0,0,0,"NOV"
17,"trumpInterview","September",0,0,0,0,0,"SEP"
18,"BLM","June",87,54,99,49,0,"JUN"
18,"NFL","April",0,0,0,0,0,"APR"
18,"RBG","September",97,85,0,53,0,"SEP"
18,"baldwin","December",0,0,0,0,0,"DEC"
18,"barronTrump","June",0,0,0,0,0,"JUN"
18,"borisJCovid","April",49,0,0,0,0,"APR"
18,"caucusNV","February",36,0,39,8,0,"FEB"
18,"covid","March",93,75,6,77,1,"MAR"
18,"falwell","August",33,0,89,5,0,"AUG"
18,"firstStim","March",71,0,91,17,0,"MAR"
18,"georgeFloyd","May",99,100,3,75,0,"MAY"
18,"jadaSmith","July",0,0,0,0,0,"JUL"
18,"kobe","January",63,51,0,49,0,"JAN"
18,"nayaRivera","July",0,0,0,0,0,"JUL"
18,"olsenDivorce","May",0,0,0,0,0,"MAY"
18,"presBiden","November",95,2,100,32,0,"NOV"
18,"presDebates","October",40,23,63,5,0,"OCT"
18,"primaryNH","February",40,0,37,6,0,"FEB"
18,"secondStim","December",21,0,25,0,0,"DEC"
18,"soleimani","January",40,0,0,11,0,"JAN"
18,"thomBrenn","August",0,0,0,0,0,"AUG"
18,"toobinZoom","October",67,43,0,96,0,"OCT"
18,"trumpFraud","November",92,97,0,25,0,"NOV"
18,"trumpInterview","September",28,74,4,8,0,"SEP"
19,"BLM","June",90,30,10,50,0,"JUN"
19,"NFL","April",0,0,0,0,0,"APR"
19,"RBG","September",100,85,0,70,0,"SEP"
19,"baldwin","December",0,0,0,0,0,"DEC"
19,"barronTrump","June",30,0,10,0,0,"JUN"
19,"borisJCovid","April",50,20,0,30,0,"APR"
19,"caucusNV","February",90,0,90,10,0,"FEB"
19,"covid","March",100,100,0,100,1,"MAR"
19,"falwell","August",20,10,0,5,0,"AUG"
19,"firstStim","March",80,0,40,50,0,"MAR"
19,"georgeFloyd","May",100,100,0,85,0,"MAY"
19,"jadaSmith","July",0,0,0,0,0,"JUL"
19,"kobe","January",100,90,0,100,0,"JAN"
19,"nayaRivera","July",20,0,0,40,0,"JUL"
19,"olsenDivorce","May",0,0,0,0,0,"MAY"
19,"presBiden","November",100,0,100,40,0,"NOV"
19,"presDebates","October",100,95,0,50,0,"OCT"
19,"primaryNH","February",75,0,70,30,0,"FEB"
19,"secondStim","December",60,0,80,30,0,"DEC"
19,"soleimani","January",70,75,0,80,0,"JAN"
19,"thomBrenn","August",0,0,0,0,0,"AUG"
19,"toobinZoom","October",20,40,0,30,0,"OCT"
19,"trumpFraud","November",100,100,0,10,0,"NOV"
19,"trumpInterview","September",50,100,0,0,0,"SEP"
20,"BLM","June",91,38,38,100,0,"JUN"
20,"NFL","April",0,0,0,0,0,"APR"
20,"RBG","September",75,61,13,56,0,"SEP"
20,"baldwin","December",0,0,0,0,0,"DEC"
20,"barronTrump","June",8,44,0,46,0,"JUN"
20,"borisJCovid","April",89,17,38,76,0,"APR"
20,"caucusNV","February",91,0,100,100,0,"FEB"
20,"covid","March",94,91,8,100,1,"MAR"
20,"falwell","August",0,0,0,0,0,"AUG"
20,"firstStim","March",100,0,100,85,0,"MAR"
20,"georgeFloyd","May",100,88,1,96,0,"MAY"
20,"jadaSmith","July",0,0,0,0,0,"JUL"
20,"kobe","January",97,89,0,100,0,"JAN"
20,"nayaRivera","July",0,0,0,0,0,"JUL"
20,"olsenDivorce","May",0,0,0,0,0,"MAY"
20,"presBiden","November",100,4,92,87,0,"NOV"
20,"presDebates","October",95,21,86,69,0,"OCT"
20,"primaryNH","February",63,1,90,90,0,"FEB"
20,"secondStim","December",100,0,100,95,0,"DEC"
20,"soleimani","January",7,49,0,48,0,"JAN"
20,"thomBrenn","August",26,16,17,86,0,"AUG"
20,"toobinZoom","October",0,0,0,0,0,"OCT"
20,"trumpFraud","November",97,91,0,99,0,"NOV"
20,"trumpInterview","September",77,89,0,97,0,"SEP"
21,"BLM","June",74,23,63,61,0,"JUN"
21,"NFL","April",0,0,0,0,0,"APR"
21,"RBG","September",67,47,1,1,0,"SEP"
21,"baldwin","December",7,16,13,52,0,"DEC"
21,"barronTrump","June",0,0,0,0,0,"JUN"
21,"borisJCovid","April",37,24,20,12,0,"APR"
21,"caucusNV","February",34,28,54,17,0,"FEB"
21,"covid","March",92,63,16,79,1,"MAR"
21,"falwell","August",55,12,48,69,0,"AUG"
21,"firstStim","March",40,33,60,34,0,"MAR"
21,"georgeFloyd","May",100,88,1,52,0,"MAY"
21,"jadaSmith","July",10,9,2,1,0,"JUL"
21,"kobe","January",60,35,1,75,0,"JAN"
21,"nayaRivera","July",0,0,0,0,0,"JUL"
21,"olsenDivorce","May",0,0,0,0,0,"MAY"
21,"presBiden","November",74,30,65,37,0,"NOV"
21,"presDebates","October",78,54,17,6,0,"OCT"
21,"primaryNH","February",20,29,52,10,0,"FEB"
21,"secondStim","December",79,30,39,9,0,"DEC"
21,"soleimani","January",71,62,3,89,0,"JAN"
21,"thomBrenn","August",0,0,0,0,0,"AUG"
21,"toobinZoom","October",0,0,0,0,0,"OCT"
21,"trumpFraud","November",84,56,6,86,0,"NOV"
21,"trumpInterview","September",85,61,1,39,0,"SEP"
22,"BLM","June",100,0,0,100,0,"JUN"
22,"NFL","April",0,0,0,0,0,"APR"
22,"RBG","September",10,0,0,0,0,"SEP"
22,"baldwin","December",0,0,0,0,0,"DEC"
22,"barronTrump","June",0,0,0,0,0,"JUN"
22,"borisJCovid","April",3,0,0,0,0,"APR"
22,"caucusNV","February",0,0,0,0,0,"FEB"
22,"covid","March",90,55,0,90,1,"MAR"
22,"falwell","August",0,0,0,0,0,"AUG"
22,"firstStim","March",10,0,0,80,0,"MAR"
22,"georgeFloyd","May",15,0,0,0,0,"MAY"
22,"jadaSmith","July",0,0,0,0,0,"JUL"
22,"kobe","January",60,0,0,100,0,"JAN"
22,"nayaRivera","July",0,0,0,0,0,"JUL"
22,"olsenDivorce","May",0,0,0,0,0,"MAY"
22,"presBiden","November",80,0,50,10,0,"NOV"
22,"presDebates","October",5,0,0,0,0,"OCT"
22,"primaryNH","February",0,0,0,0,0,"FEB"
22,"secondStim","December",20,0,0,0,0,"DEC"
22,"soleimani","January",5,0,0,0,0,"JAN"
22,"thomBrenn","August",0,0,0,0,0,"AUG"
