"subject","event","date","memory","negative","positive","surprise","covid","datePlot"
142,"presDebates","October",100,50,50,0,0,"OCT"
142,"primaryNH","February",0,0,0,0,0,"FEB"
142,"secondStim","December",100,0,100,100,0,"DEC"
142,"soleimani","January",0,0,0,0,0,"JAN"
142,"thomBrenn","August",0,0,0,0,0,"AUG"
142,"toobinZoom","October",100,100,0,100,0,"OCT"
142,"trumpFraud","November",100,100,0,0,0,"NOV"
142,"trumpInterview","September",100,100,0,20,0,"SEP"
143,"BLM","June",100,0,100,100,0,"JUN"
143,"NFL","April",100,0,0,62,0,"APR"
143,"RBG","September",100,30,0,100,0,"SEP"
143,"baldwin","December",0,0,0,0,0,"DEC"
143,"barronTrump","June",0,0,0,0,0,"JUN"
143,"borisJCovid","April",100,0,0,100,0,"APR"
143,"caucusNV","February",0,0,0,0,0,"FEB"
143,"covid","March",100,100,0,100,1,"MAR"
143,"falwell","August",0,0,0,0,0,"AUG"
143,"firstStim","March",100,0,100,100,0,"MAR"
143,"georgeFloyd","May",100,100,0,100,0,"MAY"
143,"jadaSmith","July",80,75,0,100,0,"JUL"
143,"kobe","January",100,100,0,100,0,"JAN"
143,"nayaRivera","July",100,72,0,100,0,"JUL"
143,"olsenDivorce","May",71,0,0,50,0,"MAY"
143,"presBiden","November",100,0,100,100,0,"NOV"
143,"presDebates","October",100,50,50,0,0,"OCT"
143,"primaryNH","February",81,0,100,41,0,"FEB"
143,"secondStim","December",100,0,100,100,0,"DEC"
143,"soleimani","January",59,51,60,100,0,"JAN"
143,"thomBrenn","August",0,0,0,0,0,"AUG"
143,"toobinZoom","October",0,0,0,0,0,"OCT"
143,"trumpFraud","November",100,80,0,100,0,"NOV"
143,"trumpInterview","September",100,100,0,100,0,"SEP"
144,"BLM","June",30,0,11,0,0,"JUN"
144,"NFL","April",0,0,0,0,0,"APR"
144,"RBG","September",91,100,0,54,0,"SEP"
144,"baldwin","December",0,0,0,0,0,"DEC"
144,"barronTrump","June",51,0,22,0,0,"JUN"
144,"borisJCovid","April",65,0,13,28,0,"APR"
144,"caucusNV","February",0,0,0,0,0,"FEB"
144,"covid","March",100,82,0,86,1,"MAR"
144,"falwell","August",0,0,0,0,0,"AUG"
144,"firstStim","March",51,0,72,30,0,"MAR"
144,"georgeFloyd","May",71,86,0,32,0,"MAY"
144,"jadaSmith","July",0,0,0,0,0,"JUL"
144,"kobe","January",81,50,0,100,0,"JAN"
144,"nayaRivera","July",20,17,0,67,0,"JUL"
144,"olsenDivorce","May",5,0,0,20,0,"MAY"
144,"presBiden","November",80,10,90,50,0,"NOV"
144,"presDebates","October",50,10,20,0,0,"OCT"
144,"primaryNH","February",8,0,0,3,0,"FEB"
144,"secondStim","December",55,0,82,32,0,"DEC"
144,"soleimani","January",41,46,0,12,0,"JAN"
144,"thomBrenn","August",0,0,0,0,0,"AUG"
144,"toobinZoom","October",0,0,0,0,0,"OCT"
144,"trumpFraud","November",24,11,4,3,0,"NOV"
144,"trumpInterview","September",10,0,0,5,0,"SEP"
145,"BLM","June",55,63,20,36,0,"JUN"
145,"NFL","April",0,0,0,0,0,"APR"
145,"RBG","September",100,25,0,30,0,"SEP"
145,"baldwin","December",0,0,0,0,0,"DEC"
145,"barronTrump","June",0,0,0,0,0,"JUN"
145,"borisJCovid","April",15,0,0,0,0,"APR"
145,"caucusNV","February",20,0,0,19,0,"FEB"
145,"covid","March",75,35,0,87,1,"MAR"
145,"falwell","August",0,0,0,0,0,"AUG"
145,"firstStim","March",70,0,85,64,0,"MAR"
145,"georgeFloyd","May",70,67,0,64,0,"MAY"
145,"jadaSmith","July",10,70,0,70,0,"JUL"
145,"kobe","January",85,85,0,100,0,"JAN"
145,"nayaRivera","July",71,85,0,84,0,"JUL"
