"subject","event1","event2","actualDist","value","bothMem","respProp","actProp","propDiff","propAbsDiff","pairOrder","avgMem","avgSurp","avgPos","avgNeg","distFactor","lockdownFactor"
101,"covid","BLM",82,40,1,0.4,0.224657534246575,0.175342465753425,0.175342465753425,1,100,100,25,75,0,"l"
101,"covid","presBiden",241,100,1,1,0.66027397260274,0.33972602739726,0.33972602739726,1,100,75,25,60,1,"l"
101,"firstStim","georgeFloyd",59,40,1,0.4,0.161643835616438,0.238356164383562,0.238356164383562,1,100,100,50,60,0,"l"
101,"georgeFloyd","RBG",116,100,1,1,0.317808219178082,0.682191780821918,0.682191780821918,1,100,50,0,70,1,"al"
101,"georgeFloyd","trumpFraud",166,100,1,1,0.454794520547945,0.545205479452055,0.545205479452055,1,100,55,0,70,1,"al"
101,"kobe","covid",44,10,1,0.1,0.120547945205479,-0.0205479452054795,0.0205479452054795,1,100,100,0,90,0,"bl"
101,"kobe","firstStim",60,30,1,0.3,0.164383561643836,0.135616438356164,0.135616438356164,1,100,100,50,50,0,"bl"
101,"kobe","RBG",235,100,1,1,0.643835616438356,0.356164383561644,0.356164383561644,1,100,50,0,60,1,"l"
101,"RBG","presBiden",51,10,1,0.1,0.13972602739726,-0.0397260273972603,0.0397260273972603,0,100,25,25,30,0,"al"
101,"soleimani","BLM",148,40,0,0.4,0.405479452054795,-0.0054794520547945,0.0054794520547945,NA,50,50,25,25,1,"l"
101,"soleimani","covid",67,10,0,0.1,0.183561643835616,-0.0835616438356164,0.0835616438356164,NA,50,50,0,50,0,"bl"
102,"covid","BLM",82,40,1,0.4,0.224657534246575,0.175342465753425,0.175342465753425,1,90,60,25,50,0,"l"
102,"covid","presBiden",241,100,1,1,0.66027397260274,0.33972602739726,0.33972602739726,1,100,65,35,50,1,"l"
102,"firstStim","georgeFloyd",59,20,1,0.2,0.161643835616438,0.0383561643835617,0.0383561643835617,1,75,50,40,25,0,"l"
102,"georgeFloyd","RBG",116,100,1,1,0.317808219178082,0.682191780821918,0.682191780821918,1,75,0,0,40,1,"al"
102,"georgeFloyd","trumpFraud",166,100,1,1,0.454794520547945,0.545205479452055,0.545205479452055,0,85,35,0,50,1,"al"
102,"kobe","covid",44,0,1,0,0.120547945205479,-0.120547945205479,0.120547945205479,1,100,100,0,75,0,"bl"
102,"kobe","firstStim",60,100,1,1,0.164383561643836,0.835616438356164,0.835616438356164,1,85,100,40,25,0,"bl"
102,"kobe","RBG",235,100,1,1,0.643835616438356,0.356164383561644,0.356164383561644,1,85,50,0,40,1,"l"
102,"RBG","presBiden",51,20,1,0.2,0.13972602739726,0.0602739726027397,0.0602739726027397,1,85,15,35,15,0,"al"
102,"soleimani","BLM",148,100,1,1,0.405479452054795,0.594520547945205,0.594520547945205,0,60,20,25,0,1,"l"
102,"soleimani","covid",67,50,1,0.5,0.183561643835616,0.316438356164384,0.316438356164384,0,70,60,0,50,0,"bl"
103,"covid","BLM",82,15,1,0.15,0.224657534246575,-0.0746575342465753,0.0746575342465753,1,100,77.5,55,30,0,"l"
103,"covid","presBiden",241,100,1,1,0.66027397260274,0.33972602739726,0.33972602739726,1,100,92.5,82.5,17.5,1,"l"
103,"firstStim","georgeFloyd",59,15,1,0.15,0.161643835616438,-0.0116438356164384,0.0116438356164384,0,100,100,50,50,0,"l"
103,"georgeFloyd","RBG",116,100,1,1,0.317808219178082,0.682191780821918,0.682191780821918,1,100,87.5,0,92.5,1,"al"
103,"georgeFloyd","trumpFraud",166,100,1,1,0.454794520547945,0.545205479452055,0.545205479452055,1,100,87.5,0,100,1,"al"
103,"kobe","covid",44,85,1,0.85,0.120547945205479,0.72945205479452,0.72945205479452,0,100,100,32.5,67.5,0,"bl"
103,"kobe","firstStim",60,75,1,0.75,0.164383561643836,0.585616438356164,0.585616438356164,0,100,100,50,50,0,"bl"
103,"kobe","RBG",235,25,1,0.25,0.643835616438356,-0.393835616438356,0.393835616438356,1,100,87.5,0,92.5,1,"l"
103,"RBG","presBiden",51,75,1,0.75,0.13972602739726,0.61027397260274,0.61027397260274,1,100,80,50,42.5,0,"al"
103,"soleimani","BLM",148,35,0,0.35,0.405479452054795,-0.0554794520547945,0.0554794520547945,NA,50,40,32.5,17.5,1,"l"
103,"soleimani","covid",67,65,0,0.65,0.183561643835616,0.466438356164384,0.466438356164384,NA,50,62.5,42.5,22.5,0,"bl"
104,"covid","BLM",82,30,1,0.3,0.224657534246575,0.0753424657534247,0.0753424657534247,1,100,55,42.5,50,0,"l"
104,"covid","presBiden",241,80,1,0.8,0.66027397260274,0.13972602739726,0.13972602739726,1,100,62.5,40,50,1,"l"
104,"firstStim","georgeFloyd",59,43,1,0.43,0.161643835616438,0.268356164383562,0.268356164383562,1,100,100,50,50,0,"l"
104,"georgeFloyd","RBG",116,30,1,0.3,0.317808219178082,-0.0178082191780822,0.0178082191780822,1,69.5,100,0,100,1,"al"
104,"georgeFloyd","trumpFraud",166,90,1,0.9,0.454794520547945,0.445205479452055,0.445205479452055,1,82.5,60,0,92.5,1,"al"
104,"kobe","covid",44,38,1,0.38,0.120547945205479,0.259452054794521,0.259452054794521,0,100,100,0,100,0,"bl"
104,"kobe","firstStim",60,6,1,0.06,0.164383561643836,-0.104383561643836,0.104383561643836,1,100,100,50,50,0,"bl"
104,"kobe","RBG",235,11,1,0.11,0.643835616438356,-0.533835616438356,0.533835616438356,1,69.5,100,0,100,1,"l"
104,"RBG","presBiden",51,86,1,0.86,0.13972602739726,0.72027397260274,0.72027397260274,1,69.5,62.5,40,50,0,"al"
104,"soleimani","BLM",148,71,0,0.71,0.405479452054795,0.304520547945205,0.304520547945205,NA,50,5,42.5,0,1,"l"
104,"soleimani","covid",67,71,0,0.71,0.183561643835616,0.526438356164384,0.526438356164384,NA,50,50,0,50,0,"bl"
105,"covid","BLM",82,5,1,0.05,0.224657534246575,-0.174657534246575,0.174657534246575,1,95.5,50.5,28.5,31.5,0,"l"
105,"covid","presBiden",241,87,1,0.87,0.66027397260274,0.20972602739726,0.20972602739726,1,78,37.5,48,26,1,"l"
105,"firstStim","georgeFloyd",59,40,1,0.4,0.161643835616438,0.238356164383562,0.238356164383562,0,74,62,28.5,53,0,"l"
105,"georgeFloyd","RBG",116,75,1,0.75,0.317808219178082,0.432191780821918,0.432191780821918,1,87.5,59.5,0,77,1,"al"
105,"georgeFloyd","trumpFraud",166,85,1,0.85,0.454794520547945,0.395205479452055,0.395205479452055,1,69.5,45,0,81.5,1,"al"
105,"kobe","covid",44,5,1,0.05,0.120547945205479,-0.0705479452054795,0.0705479452054795,1,95.5,80.5,14.5,76,0,"bl"
105,"kobe","firstStim",60,38,1,0.38,0.164383561643836,0.215616438356164,0.215616438356164,1,81.5,71.5,28.5,53,0,"bl"
105,"kobe","RBG",235,80,1,0.8,0.643835616438356,0.156164383561644,0.156164383561644,1,95,69,0,77,1,"l"
105,"RBG","presBiden",51,10,1,0.1,0.13972602739726,-0.0397260273972603,0.0397260273972603,1,77.5,26,33.5,27,0,"al"
105,"soleimani","BLM",148,60,0,0.6,0.405479452054795,0.194520547945205,0.194520547945205,NA,50,20,14,5.5,1,"l"
105,"soleimani","covid",67,60,0,0.6,0.183561643835616,0.416438356164384,0.416438356164384,NA,45.5,30.5,14.5,26,0,"bl"
106,"covid","BLM",82,78,1,0.78,0.224657534246575,0.555342465753425,0.555342465753425,1,100,37.5,7.5,70,0,"l"
106,"covid","presBiden",241,22,1,0.22,0.66027397260274,-0.44027397260274,0.44027397260274,1,100,50,0,80,1,"l"
106,"firstStim","georgeFloyd",59,76,1,0.76,0.161643835616438,0.598356164383562,0.598356164383562,0,90,52,28,17.5,0,"l"
106,"georgeFloyd","RBG",116,65,1,0.65,0.317808219178082,0.332191780821918,0.332191780821918,1,75.5,38.5,10.5,22,1,"al"
106,"georgeFloyd","trumpFraud",166,78,1,0.78,0.454794520547945,0.325205479452055,0.325205479452055,1,95.5,35,29.5,47.5,1,"al"
106,"kobe","covid",44,24,1,0.24,0.120547945205479,0.119452054794521,0.119452054794521,0,85,47.5,0,47.5,0,"bl"
106,"kobe","firstStim",60,32,1,0.32,0.164383561643836,0.155616438356164,0.155616438356164,0,75,52,28,7.5,0,"bl"
106,"kobe","RBG",235,32,1,0.32,0.643835616438356,-0.323835616438356,0.323835616438356,0,60.5,38.5,10.5,12,1,"l"
106,"RBG","presBiden",51,21,1,0.21,0.13972602739726,0.0702739726027397,0.0702739726027397,1,75.5,41,10.5,44.5,0,"al"
106,"soleimani","BLM",148,77,0,0.77,0.405479452054795,0.364520547945205,0.364520547945205,NA,50,25,7.5,30,1,"l"
106,"soleimani","covid",67,64,0,0.64,0.183561643835616,0.456438356164384,0.456438356164384,NA,50,12.5,0,40,0,"bl"
107,"covid","BLM",82,24,1,0.24,0.224657534246575,0.0153424657534247,0.0153424657534247,1,81.5,79,49,15,0,"l"
107,"covid","presBiden",241,90,1,0.9,0.66027397260274,0.23972602739726,0.23972602739726,1,78,60.5,74,5,1,"l"
107,"firstStim","georgeFloyd",59,13,1,0.13,0.161643835616438,-0.0316438356164384,0.0316438356164384,1,81,69.5,57,10.5,0,"l"
