"subject","pair","event1","event2","actualDist","value","bothMem","respProp","actProp","propDiff","propAbsDiff","shortFactor","lockdownFactor","event1_month","event2_month","eventDiff","pairOrder","avgMem","avgSurp","avgPos","avgNeg","covidFactor"
141,"georgeFloyd RBG","georgeFloyd","RBG",116,49,1,0.49,0.317808219178082,0.172191780821918,0.172191780821918,1,"al",7,8,1,1,83,21.5,0,43.5,NA
141,"georgeFloyd trumpFraud","georgeFloyd","trumpFraud",166,80,1,0.8,0.454794520547945,0.345205479452055,0.345205479452055,1,"al",7,11,4,1,83,26.5,0,69,NA
141,"kobe covid","kobe","covid",44,20,1,0.2,0.120547945205479,0.0794520547945206,0.0794520547945206,0,"bl",5,3,-2,0,55,76,0,25.5,"bc"
141,"kobe firstStim","kobe","firstStim",60,61,1,0.61,0.164383561643836,0.445616438356164,0.445616438356164,0,"bl",5,8,3,1,60,72.5,15,0,"bc"
141,"kobe RBG","kobe","RBG",235,71,1,0.71,0.643835616438356,0.0661643835616438,0.0661643835616438,1,"l",5,8,3,1,60,65,0,7.5,NA
141,"RBG presBiden","RBG","presBiden",51,35,1,0.35,0.13972602739726,0.21027397260274,0.21027397260274,0,"al",8,11,3,1,90,45,25,7.5,"ac"
141,"soleimani BLM","soleimani","BLM",148,50,0,0.5,0.405479452054795,0.0945205479452055,0.0945205479452055,1,"l",NA,7,NA,NA,43,5,15,15,NA
141,"soleimani covid","soleimani","covid",67,50,0,0.5,0.183561643835616,0.316438356164384,0.316438356164384,0,"bl",NA,3,NA,NA,35,26,0,25.5,"bc"
142,"covid BLM","covid","BLM",82,60,1,0.6,0.224657534246575,0.375342465753425,0.375342465753425,0,"l",3,8,5,1,100,60,47.5,45,"ac"
142,"covid presBiden","covid","presBiden",241,85,1,0.85,0.66027397260274,0.18972602739726,0.18972602739726,1,"l",3,11,8,1,100,50,50,45,NA
142,"firstStim georgeFloyd","firstStim","georgeFloyd",59,40,1,0.4,0.161643835616438,0.238356164383562,0.238356164383562,0,"l",4,3,-1,0,100,85,50,50,"ac"
142,"georgeFloyd RBG","georgeFloyd","RBG",116,50,1,0.5,0.317808219178082,0.182191780821918,0.182191780821918,1,"al",3,8,5,1,100,85,10,90,NA
142,"georgeFloyd trumpFraud","georgeFloyd","trumpFraud",166,80,1,0.8,0.454794520547945,0.345205479452055,0.345205479452055,1,"al",3,11,8,1,100,35,0,100,NA
142,"kobe covid","kobe","covid",44,80,1,0.8,0.120547945205479,0.679452054794521,0.679452054794521,0,"bl",7,3,-4,0,100,100,0,95,"bc"
142,"kobe firstStim","kobe","firstStim",60,50,1,0.5,0.164383561643836,0.335616438356164,0.335616438356164,0,"bl",7,4,-3,0,100,100,50,50,"bc"
142,"kobe RBG","kobe","RBG",235,50,1,0.5,0.643835616438356,-0.143835616438356,0.143835616438356,1,"l",7,8,1,1,100,100,10,90,NA
142,"RBG presBiden","RBG","presBiden",51,45,1,0.45,0.13972602739726,0.31027397260274,0.31027397260274,0,"al",8,11,3,1,100,50,60,40,"ac"
142,"soleimani BLM","soleimani","BLM",148,50,0,0.5,0.405479452054795,0.0945205479452055,0.0945205479452055,1,"l",NA,8,NA,NA,50,10,47.5,0,NA
142,"soleimani covid","soleimani","covid",67,50,0,0.5,0.183561643835616,0.316438356164384,0.316438356164384,0,"bl",NA,3,NA,NA,50,50,0,45,"bc"
143,"covid BLM","covid","BLM",82,10,1,0.1,0.224657534246575,-0.124657534246575,0.124657534246575,0,"l",3,5,2,1,100,100,50,50,"ac"
143,"covid presBiden","covid","presBiden",241,100,1,1,0.66027397260274,0.33972602739726,0.33972602739726,1,"l",3,11,8,1,100,100,50,50,NA
143,"firstStim georgeFloyd","firstStim","georgeFloyd",59,0,1,0,0.161643835616438,-0.161643835616438,0.161643835616438,0,"l",4,5,1,1,100,100,50,50,"ac"
143,"georgeFloyd RBG","georgeFloyd","RBG",116,70,1,0.7,0.317808219178082,0.382191780821918,0.382191780821918,1,"al",5,9,4,1,100,100,0,65,NA
143,"georgeFloyd trumpFraud","georgeFloyd","trumpFraud",166,80,1,0.8,0.454794520547945,0.345205479452055,0.345205479452055,1,"al",5,11,6,1,100,100,0,90,NA
143,"kobe covid","kobe","covid",44,25,1,0.25,0.120547945205479,0.129452054794521,0.129452054794521,0,"bl",1,3,2,1,100,100,0,100,"bc"
